Timestamp,Birthday,Education,Traffic,Track
7/15/2023 15:25:36,11/30/2004,Nazarbayev University,Instagram,Frontend
6/21/2023 18:07:52,05/07/2007,BILNurQyz,Family,Frontend
6/27/2023 15:43:33,07/08/2005,NUn,Telegram,Frontend
7/18/2023 16:28:42,05/12/2008,NIS IB,Instagram,Frontend
7/14/2023 3:53:46,11/20/2004,NIS KRG,Friends,Frontend
6/20/2023 12:10:04,07/12/2006,Ordinary School,Telegram,Frontend
6/20/2023 15:46:18,01/08/2007,RPHM School Astana,Friends,Frontend
07/03/2023 15:32:01,08/07/2007,Binom Qadir-Myrza-Ali,Instagram,Frontend
6/22/2023 5:33:54,3/28/2006,Ordinary School,Telegram,Frontend
7/15/2023 10:33:37,8/30/2006,NIS CBD Aktau,Friends,Frontend
07/02/2023 0:01:01,5/28/2007,Ordinary School,Instagram,Frontend
07/01/2023 12:44:01,5/17/2006,NIS PHM Shymkent,Instagram,Frontend
07/10/2023 9:58:01,02/05/2008,NIS KRG,Instagram,Frontend
07/01/2023 21:19:01,4/20/2008,Ordinary School,Instagram,Frontend
6/20/2023 7:28:54,8/27/2005,SDU,Instagram,Frontend
6/21/2023 21:01:39,2/19/2006,BILNurQyz,Instagram,Frontend
6/20/2023 20:16:57,1/23/2007,NIS CBD Pavlodar,Instagram,Frontend
6/21/2023 23:54:45,8/25/2004,Daryn College,Instagram,Frontend
6/21/2023 17:47:05,06/10/2008,BILNurQyz,Friends,Frontend
7/14/2023 1:55:37,03/12/2008,KILC College,Family,Frontend
7/17/2023 11:46:16,09/03/2007,Ordinary School,Family,Backend
6/30/2023 22:06:30,5/15/2004,AITU,Instagram,Backend
07/12/2023 20:15:01,12/24/2004,BILNurQyz,Friends,Backend
6/20/2023 13:05:40,11/24/2006,NIS IB,Telegram,Backend
6/20/2023 11:15:23,8/23/2004,NU,Instagram,Backend
07/04/2023 18:32:01,2/26/2007,NIS,Family,Backend
6/30/2023 17:45:27,8/18/2003,ENU,Instagram,Backend
07/05/2023 13:58:01,12/06/2005,NU,Instagram,Backend
6/19/2023 18:45:25,9/14/2004,NU,,Backend
07/01/2023 10:42:01,6/27/2006,Binom Turan,Instagram,Backend
07/12/2023 17:53:01,9/16/2005,Ordinary School,Family,Backend
6/25/2023 12:12:44,9/20/2007,NIS,Telegram,Backend
6/21/2023 18:46:11,10/31/2006,BILNurQyz,Friends,Backend
6/20/2023 15:40:58,11/23/2007,RPHM School Astana,WhatsApp,Backend
6/21/2023 2:23:25,9/21/2006,BILNurQyz,Friends,Backend
6/30/2023 18:12:45,8/22/2006,Ordinary School,Friends,Backend
7/24/2023 23:19:34,11/06/2005,NIS PHM,Instagram,Backend
07/06/2023 1:49:01,9/15/2006,Binom Altynsarin,Family,Backend
07/05/2023 20:15:01,7/20/2004,AITU,Telegram,Backend
