Timestamp,Education,Track-chose,Traffic,Track-final
6/19/2023 18:02:11,AITU,NA,,NO
6/25/2023 12:12:44,NIS,Backend,TG Channel,Backend
6/19/2023 18:45:25,NU,NA,,Backend
6/21/2023 23:52:05,NU,Frontend,Instagram,NO
6/19/2023 20:35:36,NIS ChB,Backend,,NO
6/19/2023 20:35:44,NU,NA,,NO
07/04/2023 18:40,ISA ,Frontend,Friends/Acquaintances,NO
7/15/2023 15:25:36,ISA ,NA,Instagram,Frontend
6/19/2023 20:58:20,125 high school,NA,,NO
6/19/2023 21:21:46,NIS PhM,Frontend,,Frontend
6/19/2023 21:25:06,Ordinary School,Frontend,,NO
6/19/2023 21:26:37,NU,NA,,NO
6/19/2023 21:43:37,Ordinary School,NA,,NO
6/22/2023 5:33:54,Ordinary School,NA,Telegram,Frontend
6/19/2023 22:49:11,Ordinary School,NA,,NO
6/19/2023 23:34:19,MUA,NA,Friends/Acquaintances,NO
6/25/2023 20:36:52,125 high school,NA,Friends/Acquaintances,NO
6/20/2023 0:55:11,Ordinary School,Frontend,Instagram,NO
6/20/2023 2:09:32,NIS ChB in Almaty,Backend,Instagram,NO
6/20/2023 7:28:54,SDU,Frontend,Instagram,Frontend
6/20/2023 10:48:49,Ordinary School,NA,Instagram,Frontend
6/20/2023 11:01:53,NIS ChB in Turkestan,NA,Family,NO
6/20/2023 11:15:23,NU,Backend,Instagram,Backend
6/20/2023 11:31:22,NIS PhM in Aktobe,Frontend,Friends/Acquaintances,Frontend
6/20/2023 11:49:49,AITU,NA,Instagram,NO
6/20/2023 12:10:04,Ordinary School,NA,Telegram,Frontend
6/20/2023 13:05:40,NIS,Backend,Telegram,Backend
6/24/2023 23:58:20,NU,NA,Instagram,NO
6/20/2023 15:40:58,RPhM,Backend,Whatsapp,Backend
6/20/2023 15:42:53,Ordinary School in Aktau,NA,Instagram,Backend
6/20/2023 15:46:18,RPhM,Frontend,Friends/Acquaintances,Frontend
6/20/2023 17:03:17,Ordinary School,Frontend,Instagram,Frontend
6/20/2023 17:04:11,Ordinary School,NA,Family,Frontend
07/06/2023 1:49,Binom,Backend,Family,Backend
6/20/2023 17:52:17,Ordinary School,NA,Family,NO
6/20/2023 20:16:57,NIS ChB in Pavlodar,Frontend,Instagram,Frontend
6/20/2023 23:33:44,NIS PhM in Oral,Frontend,Telegram,Frontend
6/21/2023 2:23:25,BIL,NA,Friends/Acquaintances,Backend
6/21/2023 2:32:13,BIL,NA,Telegram,NO
6/21/2023 9:07:36,BIL,NA,Telegram,NO
6/21/2023 9:34:58,BIL,NA,Friends/Acquaintances,Backend
6/21/2023 10:30:22,BIL,NA,Telegram,NO
6/21/2023 10:57:32,BIL,Frontend,Telegram,NO
6/21/2023 11:21:31,BIL,NA,Friends/Acquaintances,NO
6/21/2023 13:56:44,BIL,NA,Telegram,Backend
6/21/2023 16:02:30,BIL,Frontend,Friends/Acquaintances,NO
6/21/2023 17:47:05,BIL,Frontend,Friends/Acquaintances,Frontend
6/21/2023 18:07:52,BIL,Frontend,Family,Frontend
6/21/2023 18:46:11,BIL,Backend,Friends/Acquaintances,Backend
6/21/2023 19:43:12,Ordinary School,Backend,Friends/Acquaintances,NO
6/21/2023 20:37:28,BIL,Backend,Friends/Acquaintances,Backend
6/21/2023 21:01:39,BIL,Frontend,Instagram,Frontend
6/21/2023 23:54:45,Daryn College,Frontend,Instagram,Frontend
6/22/2023 14:32:24,NU,NA,Instagram,NO
6/22/2023 19:12:10,NU,Frontend,Telegram,NO
07/09/2023 1:45,NA,NA,Whatsapp,Backend
6/22/2023 23:53:46,BIL,Frontend,Friends/Acquaintances,NO
6/23/2023 1:04:25,BIL,NA,Instagram,Backend
6/23/2023 11:30:05,Ordinary School,Backend,Instagram,Backend
6/23/2023 11:57:39,Ordinary School,NA,Family,NO
6/27/2023 12:57:19,BIL,Backend,Friends/Acquaintances,NO
6/27/2023 13:40:03,NIS,Frontend,Instagram,Frontend
6/27/2023 15:43:33,NU,NA,Telegram,Frontend
6/27/2023 20:53:22,AITU,NA,Instagram,Backend
07/04/2023 22:38,AITU,Backend,Instagram,Backend
6/30/2023 13:39:50,SDU,NA,Instagram,NO
6/30/2023 13:42:40,NIS IB,Backend,Friends/Acquaintances,NO
6/30/2023 13:44:37,KAZGUU,NA,Instagram,NO
6/30/2023 13:49:53,NU,NA,Friends/Acquaintances,NO
6/30/2023 14:27:06,NIS PhM,Backend,Instagram,NO
6/30/2023 18:12:45,Ordinary School,Backend,Friends/Acquaintances,Backend
6/30/2023 14:36:24,AITU,Frontend,Instagram,NO
6/30/2023 14:49:04,NIS IB,Backend,Instagram,NO
6/30/2023 14:50:41,IUIT,NA,Friends/Acquaintances,NO
6/30/2023 15:12:31,KAZGUU,NA,Friends/Acquaintances,NO
6/30/2023 15:18:11,Binom,Frontend,Instagram,NO
6/30/2023 15:28:26,SDU,Frontend,Friends/Acquaintances,NO
